timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10005;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;11
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10008;20
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10009;16
700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;6
900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
2500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
6100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
8000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
12900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;9
13800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;3
15000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;5
15900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;9
17400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10013;4
18400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10017;4
21800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10004;8
23800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10003;7
24000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;6
24900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
28700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
28800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;10
30700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;6
32100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;10
32400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;10
33000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;9
