timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;0.0;0.0;0.0
2900;0.0;0.0;0.0
3000;0.0;0.0;0.0
3100;0.0;0.0;0.0
3200;0.0;0.0;0.0
3300;0.0;0.0;0.0
3400;0.0;0.0;0.0
3500;0.0;0.0;0.0
3600;-15.0;-15.0;0.0
3700;15.0;15.0;0.0
3800;2.5;2.5;0.0
3900;10.0;10.0;0.0
4000;10.0;10.0;0.0
4100;20.0;20.0;0.0
4200;12.5;12.5;0.0
4300;5.0;5.0;0.0
4400;5.0;5.0;0.0
4500;10.0;10.0;0.0
4600;5.0;5.0;0.0
4700;-30.0;-30.0;0.0
4800;17.5;17.5;0.0
4900;10.0;10.0;0.0
5000;15.0;15.0;0.0
5100;10.0;10.0;0.0
5200;7.0;10.0;-3.0
5300;23.5;10.0;13.5
5400;28.0;10.0;18.0
5500;18.5;5.0;13.5
5600;16.5;7.5;9.0
5700;16.0;2.5;13.5
5800;18.5;5.0;13.5
5900;23.5;10.0;13.5
6000;13.0;10.0;3.0
6100;31.0;10.0;21.0
6200;26.5;10.0;16.5
6300;61.5;45.0;16.5
6400;76.0;55.0;21.0
6500;71.5;55.0;16.5
6600;-33.5;-21.5;-12.0
6700;85.0;64.0;21.0
6800;108.0;64.0;44.0
6900;108.0;64.0;44.0
7000;140.0;92.0;48.0
7100;165.0;113.0;52.0
7200;139.0;87.0;52.0
7300;165.0;113.0;52.0
7400;178.0;126.0;52.0
7500;359.0;295.0;64.0
7600;139.0;87.0;52.0
7700;127.0;87.0;40.0
7800;264.5;212.5;52.0
7900;141.0;89.0;52.0
8000;79.0;11.0;68.0
8100;201.0;141.0;60.0
8200;201.0;141.0;60.0
8300;189.0;141.0;48.0
8400;189.0;141.0;48.0
8500;201.0;141.0;60.0
8600;282.5;222.5;60.0
8700;215.0;207.0;8.0
8800;267.0;207.0;60.0
8900;217.0;145.0;72.0
9000;488.0;424.0;64.0
9100;244.0;176.0;68.0
9200;197.5;129.5;68.0
9300;243.0;225.0;18.0
9400;128.0;33.0;95.0
9500;320.0;225.0;95.0
9600;296.0;201.0;95.0
9700;244.0;149.0;95.0
9800;302.0;207.0;95.0
9900;302.0;207.0;95.0
10000;309.0;207.0;102.0
10100;345.0;236.0;109.0
10200;295.0;207.0;88.0
10300;316.0;207.0;109.0
10400;251.5;163.5;88.0
10500;316.0;207.0;109.0
10600;316.0;207.0;109.0
10700;316.0;207.0;109.0
10800;337.0;207.0;130.0
10900;287.0;178.0;109.0
11000;62.0;-54.0;116.0
11100;301.0;178.0;123.0
11200;359.0;236.0;123.0
11300;330.0;207.0;123.0
11400;359.0;236.0;123.0
11500;259.0;207.0;52.0
11600;316.5;207.0;109.5
11700;196.0;236.0;-40.0
11800;316.5;207.0;109.5
11900;431.5;207.0;224.5
12000;357.0;236.0;121.0
12100;296.0;163.5;132.5
12200;571.5;439.0;132.5
12300;261.5;163.5;98.0
12400;310.5;178.0;132.5
12500;361.5;229.0;132.5
12600;535.5;403.0;132.5
12700;522.0;355.0;167.0
12800;511.5;379.0;132.5
12900;463.5;331.0;132.5
13000;170.5;26.5;144.0
13100;495.5;340.0;155.5
13200;347.0;226.0;121.0
13300;461.0;340.0;121.0
