timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;0.0;0.0;0.0
800;0.0;0.0;0.0
900;0.0;0.0;0.0
1000;0.0;0.0;0.0
1100;0.0;0.0;0.0
1200;0.0;0.0;0.0
1300;0.0;0.0;0.0
1400;0.0;0.0;0.0
1500;0.0;0.0;0.0
1600;0.0;0.0;0.0
1700;0.0;0.0;0.0
1800;0.0;0.0;0.0
1900;0.0;0.0;0.0
2000;0.0;0.0;0.0
2100;0.0;0.0;0.0
2200;0.0;0.0;0.0
2300;0.0;0.0;0.0
2400;0.0;0.0;0.0
2500;0.0;0.0;0.0
2600;0.0;0.0;0.0
2700;0.0;0.0;0.0
2800;85.0;85.0;0.0
2900;70.0;70.0;0.0
3000;72.0;80.0;-8.0
3100;185.0;105.0;80.0
3200;114.0;70.0;44.0
3300;150.0;70.0;80.0
3400;92.0;60.0;32.0
3500;151.0;115.0;36.0
3600;110.0;70.0;40.0
3700;110.0;70.0;40.0
3800;143.0;115.0;28.0
3900;110.0;70.0;40.0
4000;120.0;80.0;40.0
4100;158.0;70.0;88.0
4200;24.0;-30.0;54.0
4300;137.0;65.0;72.0
4400;137.0;65.0;72.0
4500;158.0;80.0;78.0
4600;149.0;65.0;84.0
4700;148.0;70.0;78.0
4800;87.0;70.0;17.0
4900;202.0;90.0;112.0
5000;192.0;80.0;112.0
5100;192.0;80.0;112.0
5200;322.0;210.0;112.0
5300;328.5;216.5;112.0
5400;344.5;223.0;121.5
5500;350.5;210.0;140.5
5600;306.0;203.5;102.5
5700;354.0;223.0;131.0
5800;328.0;197.0;131.0
5900;328.0;197.0;131.0
6000;299.5;197.0;102.5
6100;239.0;108.0;131.0
6200;281.0;150.0;131.0
6300;364.0;213.0;151.0
6400;404.0;276.0;128.0
6500;386.0;223.5;162.5
6600;431.0;234.0;197.0
6700;270.0;234.0;36.0
6800;408.0;234.0;174.0
6900;408.0;234.0;174.0
7000;376.5;202.5;174.0
7100;376.5;202.5;174.0
7200;429.0;255.0;174.0
7300;408.0;234.0;174.0
7400;429.0;255.0;174.0
7500;297.0;261.0;36.0
7600;473.0;276.0;197.0
7700;488.0;291.0;197.0
7800;473.0;276.0;197.0
7900;465.5;268.5;197.0
8000;423.5;261.0;162.5
8100;458.0;261.0;197.0
8200;512.0;315.0;197.0
8300;408.0;283.0;125.0
8400;354.0;283.0;71.0
8500;150.0;283.0;-133.0
8600;422.0;291.0;131.0
8700;342.0;283.0;59.0
8800;410.0;279.0;131.0
8900;342.0;283.0;59.0
9000;564.0;361.0;203.0
9100;432.0;361.0;71.0
9200;382.0;377.0;5.0
9300;318.0;361.0;-43.0
9400;433.5;361.0;72.5
9500;362.5;367.0;-4.5
9600;470.0;359.0;111.0
9700;393.0;359.0;34.0
9800;395.0;361.0;34.0
9900;-300.0;359.0;-659.0
10000;374.0;358.0;16.0
10100;377.0;361.0;16.0
10200;377.0;361.0;16.0
10300;377.0;361.0;16.0
10400;378.0;362.0;16.0
10500;17.0;361.0;-344.0
10600;455.0;359.0;96.0
10700;415.0;359.0;56.0
10800;459.0;363.0;96.0
10900;459.0;363.0;96.0
11000;337.0;361.0;-24.0
11100;454.0;358.0;96.0
11200;575.0;359.0;216.0
11300;455.0;359.0;96.0
11400;453.0;357.0;96.0
11500;495.0;359.0;136.0
11600;613.0;357.0;256.0
11700;1015.0;359.0;656.0
11800;-213.0;331.0;-544.0
11900;547.0;371.0;176.0
12000;547.0;371.0;176.0
12100;675.0;379.0;296.0
12200;603.0;307.0;296.0
12300;527.0;351.0;176.0
12400;555.0;379.0;176.0
12500;651.0;435.0;216.0
12600;627.0;371.0;256.0
12700;80603.0;80347.0;256.0
12800;627.0;371.0;256.0
12900;619.0;363.0;256.0
13000;521.0;385.0;136.0
13100;641.0;385.0;256.0
13200;205.0;429.0;-224.0
