timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;0.0;0.0;0.0
100;0.0;0.0;0.0
200;0.0;0.0;0.0
300;0.0;0.0;0.0
400;0.0;0.0;0.0
500;0.0;0.0;0.0
600;0.0;0.0;0.0
700;57.0;57.0;0.0
800;66.0;66.0;0.0
900;7.0;7.0;0.0
1000;94.5;63.0;31.5
1100;133.0;84.0;49.0
1200;224.0;196.0;28.0
1300;143.5;105.0;38.5
1400;122.5;84.0;38.5
1500;136.5;98.0;38.5
1600;17.5;-14.0;31.5
1700;171.5;133.0;38.5
1800;136.5;98.0;38.5
1900;147.0;98.0;49.0
2000;112.0;77.0;35.0
2100;150.5;98.0;52.5
2200;133.0;98.0;35.0
2300;182.0;147.0;35.0
2400;136.5;91.0;45.5
2500;204.5;159.0;45.5
2600;206.5;168.0;38.5
2700;230.0;174.0;56.0
2800;213.5;168.0;45.5
2900;213.5;168.0;45.5
3000;211.0;162.0;49.0
3100;233.5;174.0;59.5
3200;229.0;180.0;49.0
3300;226.5;174.0;52.5
3400;226.5;174.0;52.5
3500;228.0;165.0;63.0
3600;226.5;174.0;52.5
3700;214.5;162.0;52.5
3800;231.0;168.0;63.0
3900;220.5;168.0;52.5
4000;261.5;174.0;87.5
4100;192.0;171.0;21.0
4200;233.0;177.0;56.0
4300;284.0;186.0;98.0
4400;235.0;186.0;49.0
4500;239.5;180.0;59.5
4600;248.5;189.0;59.5
4700;298.0;228.0;70.0
4800;215.5;156.0;59.5
4900;232.5;180.0;52.5
5000;243.0;180.0;63.0
5100;208.0;180.0;28.0
5200;159.0;171.0;-12.0
5300;265.5;192.0;73.5
5400;244.5;171.0;73.5
5500;219.0;174.0;45.0
5600;199.5;126.0;73.5
5700;247.5;174.0;73.5
5800;158.0;189.0;-31.0
5900;190.5;183.0;7.5
6000;148.0;156.0;-8.0
6100;274.5;236.0;38.5
6200;274.5;236.0;38.5
6300;276.5;238.0;38.5
6400;276.5;238.0;38.5
6500;298.5;260.0;38.5
6600;245.5;238.0;7.5
6700;447.0;238.0;209.0
6800;232.5;238.0;-5.5
6900;165.5;237.0;-71.5
7000;194.0;240.0;-46.0
7100;219.5;240.0;-20.5
7200;220.5;241.0;-20.5
7300;217.5;238.0;-20.5
7400;268.5;238.0;30.5
7500;496.0;236.0;260.0
7600;169.5;234.0;-64.5
7700;130.5;239.0;-108.5
7800;76.5;229.0;-152.5
7900;58.0;238.0;-180.0
8000;546.0;206.0;340.0
8100;22.0;242.0;-220.0
8200;146.0;246.0;-100.0
8300;134.0;234.0;-100.0
8400;142.0;242.0;-100.0
8500;142.0;242.0;-100.0
8600;270.0;250.0;20.0
8700;142.0;242.0;-100.0
8800;142.0;242.0;-100.0
8900;118.0;218.0;-100.0
9000;-306.0;234.0;-540.0
9100;210.0;230.0;-20.0
9200;294.0;234.0;60.0
9300;214.0;234.0;-20.0
9400;-222.0;238.0;-460.0
9500;86.0;226.0;-140.0
9600;126.0;226.0;-100.0
9700;198.0;218.0;-20.0
9800;198.0;218.0;-20.0
9900;638.0;218.0;420.0
10000;250.0;230.0;20.0
10100;278.0;218.0;60.0
10200;278.0;218.0;60.0
10300;350.0;210.0;140.0
10400;366.0;186.0;180.0
10500;582.0;202.0;380.0
10600;258.0;198.0;60.0
10700;286.0;226.0;60.0
10800;398.0;218.0;180.0
10900;382.0;202.0;180.0
11000;310.0;210.0;100.0
11100;350.0;210.0;140.0
11200;350.0;210.0;140.0
11300;-2.0;218.0;-220.0
11400;438.0;218.0;220.0
11500;342.0;202.0;140.0
11600;330.0;190.0;140.0
11700;294.0;154.0;140.0
11800;358.0;218.0;140.0
11900;478.0;218.0;260.0
12000;410.0;230.0;180.0
12100;434.0;214.0;220.0
12200;438.0;218.0;220.0
12300;438.0;218.0;220.0
12400;294.0;194.0;100.0
12500;866.0;206.0;660.0
12600;426.0;206.0;220.0
12700;878.0;218.0;660.0
12800;430.0;210.0;220.0
12900;405.0;265.0;140.0
13000;533.0;273.0;260.0
13100;575.5;275.5;300.0
