timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10005;9
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;11
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10008;20
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10006;12
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10009;16
700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;6
2500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
6100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
12900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;9
13800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10016;3
15000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;3
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10015;5
15900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;9
17400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10013;4
18400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10017;4
24000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;6
28700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
28800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;10
30700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;6
32400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10006;4
33000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;9
36600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;6
36700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10011;10
40500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;2
41000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10002;6
42000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;4
44200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10013;2
