timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;11
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
600;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;25
700;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;9
800;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11007;8
2800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9986;10
5200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;9
5200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
6100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
7500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;6
9000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;10
11800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9999;6
13000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;2
13200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
14600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
14900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;5
16600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
17200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;5
18700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
19300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;3
20900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
21500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
23100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;5
25300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
25900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;6
26300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;9
27800;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;8
35900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;2
41100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;7
44700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;5
46700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;6
47600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
50300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;4
51200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;7
51700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10008;2
52800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
54200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10003;6
56500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10004;6
57700;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;8
58000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;3
62000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;3
62400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;2
64200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;8
69900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;8
71300;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;6
72600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
73700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
74000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;3
74200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;2
75700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
76600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
76900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
77300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;5
78000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
80300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9999;5
85000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;10000;7
88400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;4
89700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10012;8
91400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;4
97400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;8
98200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;9
99300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
100500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;5
101100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;2
101800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
101900;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10005;6
102000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;2
103000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
104800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;6
113400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
117300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9996;5
117400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10006;9
118100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;3
118500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
123500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10007;6
125500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;10
126600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;6
128900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9988;3
130100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9987;2
130400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;6
130500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;9
